po_id,supplier_id,item_id,order_date,expected_date,quantity,unit_cost_vnd,total_amount,currency,status,notes
PO-3001,SUP-109,ITEM-268,2024-03-09,2024-03-28,57,325000,18525000,VND,approved,
PO-3002,SUP-110,ITEM-210,2023-04-14,2023-05-03,161,423000,68103000,VND,pending,
PO-3003,SUP-125,ITEM-220,2023-06-19,2023-07-15,93,95000,8835000,VND,approved,
PO-3004,SUP-148,ITEM-258,2023-11-13,2023-12-11,129,269000,34701000,VND,cancelled,
PO-3005,SUP-119,ITEM-249,2023-06-15,2023-07-14,267,266000,71022000,VND,pending,Hàng dễ vỡ
PO-3006,SUP-134,ITEM-216,2023-06-14,2023-06-25,155,47000,7285000,VND,received,
PO-3007,SUP-912,ITEM-207,2023-08-30,2023-09-14,212,253000,53636000,VND,pending,
PO-3008,SUP-910,ITEM-237,2023-05-23,2023-06-19,479,416000,199264000,VND,cancelled,
PO-3009,SUP-150,ITEM-237,2023-02-18,2023-02-28,131,154000,20174000,VND,pending,Hàng dễ vỡ
PO-3010,SUP-133,ITEM-274,2023-10-26,2023-11-11,133,361000,48013000,VND,received,
PO-3011,SUP-134,ITEM-270,2024-06-03,2024-06-23,269,394000,105986000,VND,received,
PO-3012,SUP-105,ITEM-245,2023-04-17,2023-05-14,133,368000,48944000,VND,pending,
PO-3013,SUP-150,ITEM-260,2023-07-06,2023-08-03,366,242000,88572000,VND,approved,
PO-3014,SUP-121,ITEM-240,2024-04-29,2024-05-10,273,202000,55146000,VND,approved,
PO-3015,SUP-124,ITEM-256,2024-03-26,2024-04-10,465,203000,94395000,VND,pending,Hàng dễ vỡ
PO-3016,SUP-128,ITEM-211,2023-07-04,2023-07-24,230,303000,69690000,VND,cancelled,
PO-3017,SUP-145,ITEM-257,2023-12-28,2024-01-19,189,226000,42714000,VND,cancelled,Giao hàng khẩn
PO-3018,SUP-133,ITEM-221,2024-03-24,2024-03-28,497,20000,9940000,VND,pending,Hàng dễ vỡ
PO-3019,SUP-129,ITEM-248,2023-03-20,2023-04-10,200,225000,45000000,VND,pending,Cần hóa đơn VAT
PO-3020,SUP-134,ITEM-250,2023-09-26,2023-10-23,477,283000,134991000,VND,pending,
PO-3021,SUP-105,ITEM-258,2024-03-31,2024-04-05,98,450000,44100000,VND,approved,Giao hàng khẩn
PO-3022,SUP-111,ITEM-223,2023-08-18,2023-08-24,416,184000,76544000,VND,cancelled,
PO-3023,SUP-136,ITEM-217,2023-03-09,2023-03-21,323,443000,143089000,VND,pending,Giao hàng khẩn
PO-3024,SUP-142,ITEM-210,2024-06-13,2024-06-27,240,236000,56640000,VND,pending,
PO-3025,SUP-108,ITEM-267,2023-06-15,2023-06-28,88,156000,13728000,VND,approved,Hàng dễ vỡ
PO-3026,SUP-136,ITEM-236,2024-06-30,2024-07-05,74,314000,23236000,VND,received,
PO-3027,SUP-137,ITEM-206,2023-03-25,2023-03-29,432,433000,187056000,VND,pending,Cần hóa đơn VAT
PO-3028,SUP-141,ITEM-270,2023-11-06,2023-11-24,158,323000,51034000,VND,cancelled,Cần hóa đơn VAT
PO-3029,SUP-130,ITEM-227,2023-11-17,2023-12-17,184,305000,56120000,VND,pending,Giao hàng khẩn
PO-3030,SUP-116,ITEM-260,2023-09-11,2023-09-18,72,137000,9864000,VND,received,
PO-3031,SUP-149,ITEM-221,2024-04-23,2024-05-11,265,498000,131970000,VND,received,
PO-3032,SUP-104,ITEM-237,2024-04-26,2024-05-08,263,301000,79163000,VND,pending,Cần hóa đơn VAT
PO-3033,SUP-104,ITEM-273,2023-10-23,2023-10-28,297,101000,29997000,VND,pending,
PO-3034,SUP-126,ITEM-248,2024-01-10,2024-02-06,416,493000,205088000,VND,cancelled,
PO-3035,SUP-130,ITEM-220,2023-05-24,2023-06-06,320,447000,143040000,VND,cancelled,Hàng dễ vỡ
PO-3036,SUP-137,ITEM-239,2024-01-13,2024-01-26,253,409000,103477000,VND,pending,
PO-3037,SUP-131,ITEM-234,2023-08-22,2023-09-17,345,393000,135585000,VND,approved,
PO-3038,SUP-137,ITEM-215,2023-11-18,2023-12-04,107,14000,1498000,VND,pending,Hàng dễ vỡ
PO-3039,SUP-109,ITEM-267,2024-05-04,2024-05-23,116,283000,32828000,VND,approved,
PO-3040,SUP-131,ITEM-225,2023-11-02,2023-11-12,500,127000,63500000,VND,cancelled,Giao hàng khẩn
PO-3041,SUP-136,ITEM-236,2024-01-24,2024-02-08,157,65000,10205000,VND,received,Cần hóa đơn VAT
PO-3042,SUP-142,ITEM-233,2023-07-26,2023-08-24,392,242000,94864000,VND,approved,
PO-3044,SUP-136,ITEM-221,2024-05-02,2024-05-20,218,328000,71504000,VND,approved,
PO-3045,SUP-148,ITEM-205,2024-03-03,2024-04-01,477,461000,219897000,VND,pending,
PO-3046,SUP-120,ITEM-273,2023-12-10,2023-12-22,318,58000,18444000,VND,approved,
PO-3047,SUP-108,ITEM-243,2023-09-21,2023-10-16,93,367000,34131000,VND,cancelled,
PO-3048,SUP-128,ITEM-266,2023-04-08,2023-04-16,177,48000,8496000,VND,received,Giao hàng khẩn
PO-3049,SUP-138,ITEM-274,2024-01-04,2024-01-29,15,134000,2010000,VND,pending,Hàng dễ vỡ
PO-3050,SUP-119,ITEM-248,2023-05-17,2023-06-04,324,114000,36936000,VND,approved,
PO-3051,SUP-116,ITEM-277,2024-06-22,2024-07-09,457,395000,180515000,VND,pending,
PO-3052,SUP-121,ITEM-267,2023-07-30,2023-08-24,236,63000,14868000,VND,cancelled,
PO-3053,SUP-104,ITEM-272,2023-11-12,2023-12-08,246,338000,83148000,VND,pending,
PO-3054,SUP-104,ITEM-209,2023-10-21,2023-11-06,488,239000,116632000,VND,cancelled,
PO-3055,SUP-125,ITEM-249,2023-05-17,2023-06-09,51,343000,17493000,VND,pending,Giao hàng khẩn
PO-3056,SUP-130,ITEM-270,2023-08-24,2023-09-03,227,268000,60836000,VND,cancelled,
PO-3057,SUP-150,ITEM-203,2023-04-14,2023-05-06,133,107000,14231000,VND,approved,
PO-3058,SUP-150,ITEM-208,2023-10-24,2023-11-03,81,254000,20574000,VND,approved,
PO-3059,SUP-143,ITEM-267,2023-10-09,2023-10-13,123,210000,25830000,VND,pending,Giao hàng khẩn
