movement_id,item_id,movement_type,quantity,movement_date,reference_po,warehouse,created_by,notes
MOV-5001,ITEM-243,IN,93,2023-01-30,PO-3090,B2,system,
MOV-5002,ITEM-205,RETURN,62,2023-06-09,PO-3236,B2,system,Urgent
MOV-5003,ITEM-208,ADJUSTMENT,39,2023-11-20,,A2,KHO1,Urgent
MOV-5004,ITEM-243,ADJUSTMENT,9,2023-06-02,,B1,system,Urgent
MOV-5005,ITEM-269,ADJUSTMENT,74,2024-02-03,,B1,ADMIN,
MOV-5006,ITEM-241,RETURN,35,2024-02-28,PO-3045,B1,kho1,
MOV-5007,ITEM-239,IN,48,2023-02-08,PO-3104,B2,KHO1,
MOV-5008,ITEM-225,IN,94,2024-06-20,PO-3159,C1,ADMIN,
MOV-5009,ITEM-227,RETURN,59,2024-02-01,PO-3268,Không xác định,KHO1,
MOV-5010,ITEM-212,IN,6,2023-04-16,PO-3267,C1,kho2,Urgent
MOV-5011,ITEM-227,IN,25,2023-10-21,PO-3142,A1,kho2,
MOV-5012,ITEM-221,IN,2,2024-06-10,PO-3053,B1,kho1,Urgent
MOV-5013,ITEM-237,OUT,22,2023-03-14,,C1,system,
MOV-5014,ITEM-217,IN,87,2023-02-21,PO-3055,A2,ADMIN,
MOV-5015,ITEM-276,RETURN,79,2023-12-31,PO-3160,C1,admin,
MOV-5016,ITEM-260,OUT,12,2024-04-24,,Không xác định,ADMIN,Urgent
MOV-5017,ITEM-260,OUT,29,2023-05-28,,B1,kho2,Kiểm tra lại
MOV-5018,ITEM-224,RETURN,42,2024-04-09,PO-3250,B2,system,
MOV-5019,ITEM-222,IN,78,2023-05-11,PO-3261,B1,KHO1,Urgent
MOV-5020,ITEM-210,ADJUSTMENT,69,2024-04-17,,A2,KHO1,
MOV-5021,ITEM-271,IN,50,2023-03-09,PO-3175,B2,KHO1,
MOV-5022,ITEM-244,OUT,31,2023-06-27,,Không xác định,ADMIN,
MOV-5023,ITEM-263,IN,77,2024-04-19,PO-3167,B1,system,
MOV-5024,ITEM-277,IN,77,2024-01-24,PO-3168,A2,kho1,
MOV-5025,ITEM-201,ADJUSTMENT,85,2023-06-02,,B2,KHO1,
MOV-5026,ITEM-258,IN,88,2023-11-21,PO-3154,B2,ADMIN,OK
MOV-5027,ITEM-212,OUT,79,2024-06-06,,B1,admin,OK
MOV-5028,ITEM-271,IN,91,2024-01-03,PO-3057,B2,ADMIN,
MOV-5029,ITEM-251,RETURN,92,2024-01-27,PO-3208,A2,system,
MOV-5030,ITEM-225,OUT,47,2024-03-03,,A2,kho1,
MOV-5031,ITEM-210,RETURN,19,2024-05-13,PO-3224,Không xác định,system,
MOV-5032,ITEM-259,ADJUSTMENT,55,2023-07-04,,C1,system,Kiểm tra lại
MOV-5033,ITEM-246,IN,55,2023-01-08,PO-3296,C1,kho2,Kiểm tra lại
MOV-5034,ITEM-270,OUT,5,2023-02-08,,B1,admin,
MOV-5035,ITEM-262,RETURN,19,2024-06-23,PO-3144,A1,kho1,Kiểm tra lại
MOV-5036,ITEM-210,RETURN,75,2023-11-16,PO-3028,B2,system,
MOV-5037,ITEM-261,OUT,43,2024-03-07,,B1,kho1,
MOV-5038,ITEM-277,RETURN,94,2023-09-24,PO-3032,A1,ADMIN,OK
MOV-5039,ITEM-280,IN,63,2023-03-26,PO-3065,B1,kho1,
MOV-5040,ITEM-236,IN,2,2023-04-25,PO-3090,B2,kho2,
MOV-5041,ITEM-223,IN,31,2024-05-11,PO-3093,A1,kho1,
MOV-5042,ITEM-220,ADJUSTMENT,97,2024-02-27,,Không xác định,system,Urgent
MOV-5043,ITEM-222,IN,94,2023-12-20,PO-3028,A1,kho1,Kiểm tra lại
MOV-5044,ITEM-252,OUT,61,2024-06-29,,Không xác định,system,Kiểm tra lại
MOV-5045,ITEM-234,IN,56,2023-01-13,PO-3148,B1,KHO1,Urgent
MOV-5046,ITEM-206,IN,82,2023-12-29,PO-3222,B1,kho2,OK
MOV-5047,ITEM-213,IN,75,2024-02-05,PO-3237,Không xác định,KHO1,
